MIZ Identifier,MIZ Analysis Label,MIZ Label,Geography Type,Indicator,Indicator Short Name,Indicator Sort,Children Aged 0 to 5,Children Count,Percent
7,No MIZ,No MIZ,MIZ,Below LIM,Low income,1,13350,4465,0.3344569288389513
7,No MIZ,No MIZ,MIZ,Indigenous Identity,Indigenous identity,2,13350,12660,0.9483146067415731
7,No MIZ,No MIZ,MIZ,Parent(s) Less Than High School,Parent education,3,13350,5925,0.4438202247191011
7,No MIZ,No MIZ,MIZ,Immigrant Parent(s),Immigrant parent(s),4,13350,95,0.007116104868913857
7,No MIZ,No MIZ,MIZ,Lone Parent,Lone parent,5,13350,1415,0.10599250936329588
5,Moderate MIZ,Moderate MIZ,MIZ,Below LIM,Low income,1,116155,14050,0.12095906332056304
5,Moderate MIZ,Moderate MIZ,MIZ,Indigenous Identity,Indigenous identity,2,116155,14695,0.12651198829150703
5,Moderate MIZ,Moderate MIZ,MIZ,Parent(s) Less Than High School,Parent education,3,116155,9140,0.07868796005337696
5,Moderate MIZ,Moderate MIZ,MIZ,Immigrant Parent(s),Immigrant parent(s),4,116155,9125,0.078558822263355
5,Moderate MIZ,Moderate MIZ,MIZ,Lone Parent,Lone parent,5,116155,15695,0.1351211742929706
4,Strong MIZ,Strong MIZ,MIZ,Below LIM,Low income,1,122060,9225,0.07557758479436343
4,Strong MIZ,Strong MIZ,MIZ,Indigenous Identity,Indigenous identity,2,122060,6870,0.05628379485498935
4,Strong MIZ,Strong MIZ,MIZ,Parent(s) Less Than High School,Parent education,3,122060,6490,0.05317057184990988
4,Strong MIZ,Strong MIZ,MIZ,Immigrant Parent(s),Immigrant parent(s),4,122060,10800,0.08848107488120596
4,Strong MIZ,Strong MIZ,MIZ,Lone Parent,Lone parent,5,122060,13435,0.1100688186137965
6,Weak MIZ,Weak MIZ,MIZ,Below LIM,Low income,1,89535,14070,0.15714525046071368
6,Weak MIZ,Weak MIZ,MIZ,Indigenous Identity,Indigenous identity,2,89535,27460,0.30669570558999276
6,Weak MIZ,Weak MIZ,MIZ,Parent(s) Less Than High School,Parent education,3,89535,11600,0.12955827330094377
6,Weak MIZ,Weak MIZ,MIZ,Immigrant Parent(s),Immigrant parent(s),4,89535,7710,0.0861115764784721
6,Weak MIZ,Weak MIZ,MIZ,Lone Parent,Lone parent,5,89535,12635,0.14111799854805385
1,Inside CMA,Inside CMA,CMA,Below LIM,Low income,1,1628860,187905,0.11535982220694228
1,Inside CMA,Inside CMA,CMA,Indigenous Identity,Indigenous identity,2,1628860,64180,0.039401790209103296
1,Inside CMA,Inside CMA,CMA,Parent(s) Less Than High School,Parent education,3,1628860,75290,0.04622251144972558
1,Inside CMA,Inside CMA,CMA,Immigrant Parent(s),Immigrant parent(s),4,1628860,735180,0.45134634038530014
1,Inside CMA,Inside CMA,CMA,Lone Parent,Lone parent,5,1628860,223745,0.13736294095256804
3,Inside non-tracted CA,Inside non-tracted CA,CA,Below LIM,Low income,1,173330,23025,0.1328390930594819
3,Inside non-tracted CA,Inside non-tracted CA,CA,Indigenous Identity,Indigenous identity,2,173330,21030,0.12132925633185254
3,Inside non-tracted CA,Inside non-tracted CA,CA,Parent(s) Less Than High School,Parent education,3,173330,12010,0.06928979403450067
3,Inside non-tracted CA,Inside non-tracted CA,CA,Immigrant Parent(s),Immigrant parent(s),4,173330,26800,0.15461835804534702
3,Inside non-tracted CA,Inside non-tracted CA,CA,Lone Parent,Lone parent,5,173330,31490,0.18167657070328275
2,Inside tracted CA,Inside tracted CA,CA,Below LIM,Low income,1,44395,4940,0.11127379209370425
2,Inside tracted CA,Inside tracted CA,CA,Indigenous Identity,Indigenous identity,2,44395,4960,0.11172429327626986
2,Inside tracted CA,Inside tracted CA,CA,Parent(s) Less Than High School,Parent education,3,44395,2415,0.054398017794796714
2,Inside tracted CA,Inside tracted CA,CA,Immigrant Parent(s),Immigrant parent(s),4,44395,8035,0.1809888500957315
2,Inside tracted CA,Inside tracted CA,CA,Lone Parent,Lone parent,5,44395,7505,0.169050568757743
8,Territories outside CA,Territories,Territories outside CA,Below LIM,Low income,1,7075,1300,0.18374558303886926
8,Territories outside CA,Territories,Territories outside CA,Indigenous Identity,Indigenous identity,2,7075,6320,0.893286219081272
8,Territories outside CA,Territories,Territories outside CA,Parent(s) Less Than High School,Parent education,3,7075,2830,0.4
8,Territories outside CA,Territories,Territories outside CA,Immigrant Parent(s),Immigrant parent(s),4,7075,260,0.03674911660777385
8,Territories outside CA,Territories,Territories outside CA,Lone Parent,Lone parent,5,7075,2145,0.30318021201413425
