Province Code,Province Name,Indicator,Indicator Sort,Children Count,Percent,Value Status
0,Canada,Below LIM,1,274810,12.4,Reportable
0,Canada,Indigenous Identity,2,160395,7.3,Reportable
0,Canada,Parent(s) Less Than High School,3,133210,6.032528830107848,Reportable
0,Canada,Immigrant Parent(s),4,808530,36.614972862451005,Reportable
0,Canada,Lone Parent,5,328030,14.855119226336441,Reportable
10,Newfoundland and Labrador,Below LIM,1,3790,16.4,Reportable
10,Newfoundland and Labrador,Indigenous Identity,2,2855,12.4,Reportable
10,Newfoundland and Labrador,Parent(s) Less Than High School,3,1260,5.462822458270106,Reportable
10,Newfoundland and Labrador,Immigrant Parent(s),4,1775,7.695642748753523,Reportable
10,Newfoundland and Labrador,Lone Parent,5,5120,22.19813570344678,Reportable
11,Prince Edward Island,Below LIM,1,1275,15.5,Reportable
11,Prince Edward Island,Indigenous Identity,2,290,3.5,Reportable
11,Prince Edward Island,Parent(s) Less Than High School,3,400,4.875076173065204,Reportable
11,Prince Edward Island,Immigrant Parent(s),4,1170,14.259597806215721,Reportable
11,Prince Edward Island,Lone Parent,5,1305,15.904936014625228,Reportable
12,Nova Scotia,Below LIM,1,9490,19.3,Reportable
12,Nova Scotia,Indigenous Identity,2,3855,7.8,Reportable
12,Nova Scotia,Parent(s) Less Than High School,3,2805,5.702378532221997,Reportable
12,Nova Scotia,Immigrant Parent(s),4,7510,15.267330758284203,Reportable
12,Nova Scotia,Lone Parent,5,11035,22.43342142711933,Reportable
13,New Brunswick,Below LIM,1,7130,18.1,Reportable
13,New Brunswick,Indigenous Identity,2,2375,6.0,Reportable
13,New Brunswick,Parent(s) Less Than High School,3,1800,4.5615813482007095,Reportable
13,New Brunswick,Immigrant Parent(s),4,4840,12.265585402939685,Reportable
13,New Brunswick,Lone Parent,5,8055,20.413076533198176,Reportable
24,Quebec,Below LIM,1,50820,9.9,Reportable
24,Quebec,Indigenous Identity,2,15185,3.0,Reportable
24,Quebec,Parent(s) Less Than High School,3,29575,5.779245522672425,Reportable
24,Quebec,Immigrant Parent(s),4,149265,29.167847267682145,Reportable
24,Quebec,Lone Parent,5,70010,13.68064172585956,Reportable
35,Ontario,Below LIM,1,101450,12.3,Reportable
35,Ontario,Indigenous Identity,2,31775,3.8,Reportable
35,Ontario,Parent(s) Less Than High School,3,46635,5.636671299933522,Reportable
35,Ontario,Immigrant Parent(s),4,361725,43.72091617815918,Reportable
35,Ontario,Lone Parent,5,124490,15.046836284522874,Reportable
46,Manitoba,Below LIM,1,20370,21.7,Reportable
46,Manitoba,Indigenous Identity,2,26085,27.8,Reportable
46,Manitoba,Parent(s) Less Than High School,3,11000,11.740847475717793,Reportable
46,Manitoba,Immigrant Parent(s),4,30815,32.89038317856762,Reportable
46,Manitoba,Lone Parent,5,17835,19.03618315722062,Reportable
47,Saskatchewan,Below LIM,1,15080,18.4,Reportable
47,Saskatchewan,Indigenous Identity,2,20785,25.3,Reportable
47,Saskatchewan,Parent(s) Less Than High School,3,7060,8.604509445460087,Reportable
47,Saskatchewan,Immigrant Parent(s),4,19520,23.790371724558195,Reportable
47,Saskatchewan,Lone Parent,5,16425,20.018281535648992,Reportable
48,Alberta,Below LIM,1,35205,11.7,Reportable
48,Alberta,Indigenous Identity,2,26600,8.8,Reportable
48,Alberta,Parent(s) Less Than High School,3,20110,6.683505600053176,Reportable
48,Alberta,Immigrant Parent(s),4,120580,40.074445810761404,Reportable
48,Alberta,Lone Parent,5,38605,12.83027019841138,Reportable
59,British Columbia,Below LIM,1,28540,10.9,Reportable
59,British Columbia,Indigenous Identity,2,23210,8.9,Reportable
59,British Columbia,Parent(s) Less Than High School,3,9590,3.6675845188924585,Reportable
59,British Columbia,Immigrant Parent(s),4,110100,42.10647085819183,Reportable
59,British Columbia,Lone Parent,5,32285,12.347024629034726,Reportable
60,Yukon,Below LIM,1,250,9.4,Reportable
60,Yukon,Indigenous Identity,2,825,30.9,Reportable
60,Yukon,Parent(s) Less Than High School,3,150,5.617977528089887,Reportable
60,Yukon,Immigrant Parent(s),4,595,22.284644194756552,Reportable
60,Yukon,Lone Parent,5,500,18.726591760299627,Reportable
61,Northwest Territories,Below LIM,1,385,11.5,Reportable
61,Northwest Territories,Indigenous Identity,2,1905,57.0,Reportable
61,Northwest Territories,Parent(s) Less Than High School,3,545,16.292974588938712,Reportable
61,Northwest Territories,Immigrant Parent(s),4,490,14.648729446935723,Reportable
61,Northwest Territories,Lone Parent,5,775,23.168908819133037,Reportable
62,Nunavut,Below LIM,1,1015,20.1,Reportable
62,Nunavut,Indigenous Identity,2,4665,92.5,Reportable
62,Nunavut,Parent(s) Less Than High School,3,2295,45.490584737363726,Reportable
62,Nunavut,Immigrant Parent(s),4,155,3.072348860257681,Reportable
62,Nunavut,Lone Parent,5,1600,31.714568880079284,Reportable
